model,storage,carrier,condition,price
Apple iPhone 6,16gb,unlocked,good,9.0
Apple iPhone 6,16gb,unlocked,poor,5.4
Apple iPhone 6,16gb,unlocked,faulty,5
Apple iPhone 6,16gb,verizon,good,9.0
Apple iPhone 6,16gb,verizon,poor,5.4
Apple iPhone 6,16gb,verizon,faulty,5
Apple iPhone 6,16gb,AT&T,good,7.62
Apple iPhone 6,16gb,AT&T,poor,5
Apple iPhone 6,16gb,AT&T,faulty,5
Apple iPhone 6,16gb,T-Mobile,good,6.96
Apple iPhone 6,16gb,T-Mobile,poor,5
Apple iPhone 6,16gb,T-Mobile,faulty,5
Apple iPhone 6,16gb,sprint,good,6.42
Apple iPhone 6,16gb,sprint,poor,5
Apple iPhone 6,16gb,sprint,faulty,5
Apple iPhone 6,16gb,other,good,5
Apple iPhone 6,16gb,other,poor,5
Apple iPhone 6,16gb,other,faulty,5
Apple iPhone 6,32gb,unlocked,good,9.0
Apple iPhone 6,32gb,unlocked,poor,5.4
Apple iPhone 6,32gb,unlocked,faulty,5
Apple iPhone 6,32gb,verizon,good,9.0
Apple iPhone 6,32gb,verizon,poor,5.4
Apple iPhone 6,32gb,verizon,faulty,5
Apple iPhone 6,32gb,AT&T,good,7.62
Apple iPhone 6,32gb,AT&T,poor,4.57
Apple iPhone 6,32gb,AT&T,faulty,5
Apple iPhone 6,32gb,T-Mobile,good,6.96
Apple iPhone 6,32gb,T-Mobile,poor,5
Apple iPhone 6,32gb,T-Mobile,faulty,5
Apple iPhone 6,32gb,sprint,good,6.42
Apple iPhone 6,32gb,sprint,poor,5
Apple iPhone 6,32gb,sprint,faulty,5
Apple iPhone 6,32gb,other,good,5
Apple iPhone 6,32gb,other,poor,5
Apple iPhone 6,32gb,other,faulty,5
Apple iPhone 6,64gb,unlocked,good,9.0
Apple iPhone 6,64gb,unlocked,poor,5.4
Apple iPhone 6,64gb,unlocked,faulty,5
Apple iPhone 6,64gb,verizon,good,9.0
Apple iPhone 6,64gb,verizon,poor,5.4
Apple iPhone 6,64gb,verizon,faulty,5
Apple iPhone 6,64gb,AT&T,good,7.62
Apple iPhone 6,64gb,AT&T,poor,5
Apple iPhone 6,64gb,AT&T,faulty,5
Apple iPhone 6,64gb,T-Mobile,good,6.96
Apple iPhone 6,64gb,T-Mobile,poor,5
Apple iPhone 6,64gb,T-Mobile,faulty,5
Apple iPhone 6,64gb,sprint,good,6.42
