model,storage,carrier,condition,price
Apple iPhone 6,16,Unlocked,Like New,76.82
Apple iPhone 6,16,Unlocked,Good,69.1
Apple iPhone 6,16,Unlocked,Fair,67.6
Apple iPhone 6,16,Unlocked,Broken,41.11
Apple iPhone 6,16,Verizon,Like New,76.82
Apple iPhone 6,16,Verizon,Good,69.1
Apple iPhone 6,16,Verizon,Fair,67.6
Apple iPhone 6,16,Verizon,Broken,41.01
Apple iPhone 6,16,AT&T,Like New,76.02
Apple iPhone 6,16,AT&T,Good,65.05
Apple iPhone 6,16,AT&T,Fair,64.55
Apple iPhone 6,16,AT&T,Broken,35.82
Apple iPhone 6,16,T-Mobile,Like New,73.9
Apple iPhone 6,16,T-Mobile,Good,68.19
Apple iPhone 6,16,T-Mobile,Fair,67.8
Apple iPhone 6,16,T-Mobile,Broken,36.49
Apple iPhone 6,16,Sprint,Like New,73.99
Apple iPhone 6,16,Sprint,Good,69.97
Apple iPhone 6,16,Sprint,Fair,69.23
Apple iPhone 6,16,Sprint,Broken,35.17
Apple iPhone 6,32,Unlocked,Like New,99.12
Apple iPhone 6,32,Unlocked,Good,82.05
Apple iPhone 6,32,Unlocked,Fair,80.23
Apple iPhone 6,32,Unlocked,Broken,52.65
Apple iPhone 6,32,Verizon,Like New,99.12
Apple iPhone 6,32,Verizon,Good,80.97
Apple iPhone 6,32,Verizon,Fair,80.17
Apple iPhone 6,32,Verizon,Broken,52.65
Apple iPhone 6,32,AT&T,Like New,81.31
Apple iPhone 6,32,AT&T,Good,77.56
Apple iPhone 6,32,AT&T,Fair,76.68
Apple iPhone 6,32,AT&T,Broken,48.64
Apple iPhone 6,32,T-Mobile,Like New,81.31
Apple iPhone 6,32,T-Mobile,Good,75.45
Apple iPhone 6,32,T-Mobile,Fair,75.11
Apple iPhone 6,32,T-Mobile,Broken,49.63
Apple iPhone 6,32,Sprint,Like New,**NOT ENOUGH RESULTS**
Apple iPhone 6,32,Sprint,Good,73.72
Apple iPhone 6,32,Sprint,Fair,73.95
Apple iPhone 6,32,Sprint,Broken,41.58
Apple iPhone 6,64,Unlocked,Like New,88.23
Apple iPhone 6,64,Unlocked,Good,77.77
Apple iPhone 6,64,Unlocked,Fair,77.07
Apple iPhone 6,64,Unlocked,Broken,49.71
Apple iPhone 6,64,Verizon,Like New,88.23
Apple iPhone 6,64,Verizon,Good,77.77
Apple iPhone 6,64,Verizon,Fair,77.07
Apple iPhone 6,64,Verizon,Broken,49.71
Apple iPhone 6,64,AT&T,Like New,86.31
Apple iPhone 6,64,AT&T,Good,76.88
Apple iPhone 6,64,AT&T,Fair,75.83
Apple iPhone 6,64,AT&T,Broken,45.05
Apple iPhone 6,64,T-Mobile,Like New,87.25
Apple iPhone 6,64,T-Mobile,Good,81.78
Apple iPhone 6,64,T-Mobile,Fair,80.57
Apple iPhone 6,64,T-Mobile,Broken,43.76
Apple iPhone 6,64,Sprint,Like New,94.12
Apple iPhone 6,64,Sprint,Good,83.07
Apple iPhone 6,64,Sprint,Fair,81.68
Apple iPhone 6,64,Sprint,Broken,36.76
Apple iPhone 6,128,Unlocked,Like New,101.68
Apple iPhone 6,128,Unlocked,Good,87.7
Apple iPhone 6,128,Unlocked,Fair,87.02
Apple iPhone 6,128,Unlocked,Broken,53.83
Apple iPhone 6,128,Verizon,Like New,101.68
Apple iPhone 6,128,Verizon,Good,87.7
Apple iPhone 6,128,Verizon,Fair,87.02
Apple iPhone 6,128,Verizon,Broken,52.77
Apple iPhone 6,128,AT&T,Like New,99.69
Apple iPhone 6,128,AT&T,Good,88.05
Apple iPhone 6,128,AT&T,Fair,87.1
Apple iPhone 6,128,AT&T,Broken,48.37
Apple iPhone 6,128,T-Mobile,Like New,93.38
Apple iPhone 6,128,T-Mobile,Good,88.66
Apple iPhone 6,128,T-Mobile,Fair,88.06
Apple iPhone 6,128,T-Mobile,Broken,47.22
Apple iPhone 6,128,Sprint,Like New,96.02
Apple iPhone 6,128,Sprint,Good,79.61
Apple iPhone 6,128,Sprint,Fair,79.61
Apple iPhone 6,128,Sprint,Broken,54.69
Apple iPhone 6 Plus,16,Unlocked,Like New,118.51
Apple iPhone 6 Plus,16,Unlocked,Good,106.42
Apple iPhone 6 Plus,16,Unlocked,Fair,105.98
Apple iPhone 6 Plus,16,Unlocked,Broken,64.37
Apple iPhone 6 Plus,16,Verizon,Like New,118.51
Apple iPhone 6 Plus,16,Verizon,Good,106.39
Apple iPhone 6 Plus,16,Verizon,Fair,105.98
Apple iPhone 6 Plus,16,Verizon,Broken,64.3
Apple iPhone 6 Plus,16,AT&T,Like New,112.99
Apple iPhone 6 Plus,16,AT&T,Good,106.0
Apple iPhone 6 Plus,16,AT&T,Fair,105.63
Apple iPhone 6 Plus,16,AT&T,Broken,61.5
Apple iPhone 6 Plus,16,T-Mobile,Like New,114.28
Apple iPhone 6 Plus,16,T-Mobile,Good,106.75
Apple iPhone 6 Plus,16,T-Mobile,Fair,106.03
Apple iPhone 6 Plus,16,T-Mobile,Broken,60.27
Apple iPhone 6 Plus,16,Sprint,Like New,113.61
Apple iPhone 6 Plus,16,Sprint,Good,103.58
Apple iPhone 6 Plus,16,Sprint,Fair,103.58
Apple iPhone 6 Plus,16,Sprint,Broken,57.25
Apple iPhone 6 Plus,64,Unlocked,Like New,129.59
Apple iPhone 6 Plus,64,Unlocked,Good,124.12
Apple iPhone 6 Plus,64,Unlocked,Fair,123.49
Apple iPhone 6 Plus,64,Unlocked,Broken,80.91
Apple iPhone 6 Plus,64,Verizon,Like New,129.59
Apple iPhone 6 Plus,64,Verizon,Good,124.12
Apple iPhone 6 Plus,64,Verizon,Fair,123.59
Apple iPhone 6 Plus,64,Verizon,Broken,80.91
Apple iPhone 6 Plus,64,AT&T,Like New,132.1
Apple iPhone 6 Plus,64,AT&T,Good,119.54
Apple iPhone 6 Plus,64,AT&T,Fair,119.37
Apple iPhone 6 Plus,64,AT&T,Broken,74.18
Apple iPhone 6 Plus,64,T-Mobile,Like New,134.72
Apple iPhone 6 Plus,64,T-Mobile,Good,124.04
Apple iPhone 6 Plus,64,T-Mobile,Fair,122.54
Apple iPhone 6 Plus,64,T-Mobile,Broken,77.02
Apple iPhone 6 Plus,64,Sprint,Like New,125.47
Apple iPhone 6 Plus,64,Sprint,Good,125.35
Apple iPhone 6 Plus,64,Sprint,Fair,120.17
Apple iPhone 6 Plus,64,Sprint,Broken,62.2
Apple iPhone 6 Plus,128,Unlocked,Like New,159.65
Apple iPhone 6 Plus,128,Unlocked,Good,145.57
Apple iPhone 6 Plus,128,Unlocked,Fair,144.27
Apple iPhone 6 Plus,128,Unlocked,Broken,86.44
Apple iPhone 6 Plus,128,Verizon,Like New,159.65
Apple iPhone 6 Plus,128,Verizon,Good,145.57
Apple iPhone 6 Plus,128,Verizon,Fair,144.27
Apple iPhone 6 Plus,128,Verizon,Broken,86.44
Apple iPhone 6 Plus,128,AT&T,Like New,171.24
Apple iPhone 6 Plus,128,AT&T,Good,138.62
Apple iPhone 6 Plus,128,AT&T,Fair,137.5
Apple iPhone 6 Plus,128,AT&T,Broken,87.33
Apple iPhone 6 Plus,128,T-Mobile,Like New,164.97
Apple iPhone 6 Plus,128,T-Mobile,Good,143.91
Apple iPhone 6 Plus,128,T-Mobile,Fair,144.86
Apple iPhone 6 Plus,128,T-Mobile,Broken,86.08
Apple iPhone 6 Plus,128,Sprint,Like New,**NOT ENOUGH RESULTS**
Apple iPhone 6 Plus,128,Sprint,Good,113.8
Apple iPhone 6 Plus,128,Sprint,Fair,113.8
Apple iPhone 6 Plus,128,Sprint,Broken,89.94
Apple iPhone 6s,16,Unlocked,Like New,92.84
Apple iPhone 6s,16,Unlocked,Good,82.67
Apple iPhone 6s,16,Unlocked,Fair,82.14
Apple iPhone 6s,16,Unlocked,Broken,45.54
Apple iPhone 6s,16,Verizon,Like New,92.84
Apple iPhone 6s,16,Verizon,Good,82.54
Apple iPhone 6s,16,Verizon,Fair,82.39
Apple iPhone 6s,16,Verizon,Broken,45.92
Apple iPhone 6s,16,AT&T,Like New,84.6
Apple iPhone 6s,16,AT&T,Good,81.92
Apple iPhone 6s,16,AT&T,Fair,79.85
Apple iPhone 6s,16,AT&T,Broken,45.11
Apple iPhone 6s,16,T-Mobile,Like New,86.07
Apple iPhone 6s,16,T-Mobile,Good,83.01
Apple iPhone 6s,16,T-Mobile,Fair,82.29
Apple iPhone 6s,16,T-Mobile,Broken,42.96
Apple iPhone 6s,16,Sprint,Like New,88.51
Apple iPhone 6s,16,Sprint,Good,82.21
Apple iPhone 6s,16,Sprint,Fair,80.31
Apple iPhone 6s,16,Sprint,Broken,43.72
Apple iPhone 6s,32,Unlocked,Like New,97.35
Apple iPhone 6s,32,Unlocked,Good,86.49
Apple iPhone 6s,32,Unlocked,Fair,85.92
Apple iPhone 6s,32,Unlocked,Broken,52.35
Apple iPhone 6s,32,Verizon,Like New,97.35
Apple iPhone 6s,32,Verizon,Good,86.55
Apple iPhone 6s,32,Verizon,Fair,85.81
Apple iPhone 6s,32,Verizon,Broken,51.83
Apple iPhone 6s,32,AT&T,Like New,94.01
Apple iPhone 6s,32,AT&T,Good,84.21
Apple iPhone 6s,32,AT&T,Fair,83.3
Apple iPhone 6s,32,AT&T,Broken,51.67
Apple iPhone 6s,32,T-Mobile,Like New,95.57
Apple iPhone 6s,32,T-Mobile,Good,87.84
Apple iPhone 6s,32,T-Mobile,Fair,87.12
Apple iPhone 6s,32,T-Mobile,Broken,52.19
Apple iPhone 6s,32,Sprint,Like New,95.83
Apple iPhone 6s,32,Sprint,Good,87.36
Apple iPhone 6s,32,Sprint,Fair,87.02
Apple iPhone 6s,32,Sprint,Broken,52.65
